setID	setName	source	size.orig	name.source
329	106055	GRB2:SOS provides linkage to MAPK signaling for Integrins	REACTOME	15	GRB2:SOS provides linkage to MAPK signaling for Integrins
330	106056	p130Cas linkage to MAPK signaling for integrins	REACTOME	15	p130Cas linkage to MAPK signaling for integrins
331	106057	Formation of Fibrin Clot (Clotting Cascade)	REACTOME	32	Formation of Fibrin Clot (Clotting Cascade)
332	106059	Intrinsic Pathway	REACTOME	17	Intrinsic Pathway
333	106060	Common Pathway	REACTOME	14	Common Pathway
334	106061	Dissolution of Fibrin Clot	REACTOME	11	Dissolution of Fibrin Clot
335	106062	Cell surface interactions at the vascular wall	REACTOME	95	Cell surface interactions at the vascular wall
336	106063	Tie2 Signaling	REACTOME	18	Tie2 Signaling
337	106064	PECAM1 interactions	REACTOME	12	PECAM1 interactions
338	106065	Basigin interactions	REACTOME	25	Basigin interactions
339	106067	Influenza Infection	REACTOME	141	Influenza Infection
340	106068	Influenza Life Cycle	REACTOME	136	Influenza Life Cycle
341	106073	Transport of Ribonucleoproteins into the Host Nucleus	REACTOME	29	Transport of Ribonucleoproteins into the Host Nucleus
342	106074	Influenza Viral RNA Transcription and Replication	REACTOME	101	Influenza Viral RNA Transcription and Replication
343	106076	Viral Messenger RNA Synthesis	REACTOME	14	Viral Messenger RNA Synthesis
344	106077	Viral mRNA Translation	REACTOME	85	Viral mRNA Translation
345	106080	Export of Viral Ribonucleoproteins from Nucleus*	REACTOME	30	Export of Viral Ribonucleoproteins from Nucleus*
346	106096	Integration of energy metabolism	REACTOME	107	Integration of energy metabolism
347	106097	Glucagon signaling in metabolic regulation	REACTOME	35	Glucagon signaling in metabolic regulation
348	106099	PKA activation in glucagon signalling	REACTOME	17	PKA activation in glucagon signalling
349	106109	Regulation of pyruvate dehydrogenase (PDH) complex	REACTOME	12	Regulation of pyruvate dehydrogenase (PDH) complex
350	106110	Integrin cell surface interactions	REACTOME	66	Integrin cell surface interactions
351	106111	Lipid digestion, mobilization, and transport	REACTOME	50	Lipid digestion, mobilization, and transport
352	106114	Triglyceride Biosynthesis	REACTOME	41	Triglyceride Biosynthesis
353	106115	Fatty Acyl-CoA Biosynthesis	REACTOME	20	Fatty Acyl-CoA Biosynthesis
354	106122	Mitochondrial Fatty Acid Beta-Oxidation	REACTOME	15	Mitochondrial Fatty Acid Beta-Oxidation
355	106136	Peroxisomal lipid metabolism	REACTOME	22	Peroxisomal lipid metabolism
356	106142	Cholesterol biosynthesis	REACTOME	22	Cholesterol biosynthesis (REACTOME)
357	106144	Bile acid and bile salt metabolism	REACTOME	33	Bile acid and bile salt metabolism
358	106145	Synthesis of bile acids and bile salts	REACTOME	24	Synthesis of bile acids and bile salts
359	106146	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	REACTOME	21	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
360	106147	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	REACTOME	15	Synthesis of bile acids and bile salts via 24-hydroxycholesterol
361	106148	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	REACTOME	11	Synthesis of bile acids and bile salts via 27-hydroxycholesterol
362	106149	Recycling of bile acids and salts	REACTOME	12	Recycling of bile acids and salts
363	106150	Metabolism of steroid hormones and vitamin D	REACTOME	30	Metabolism of steroid hormones and vitamin D
364	106154	Androgen biosynthesis	REACTOME	11	Androgen biosynthesis
365	106156	Lipoprotein metabolism	REACTOME	30	Lipoprotein metabolism
366	106157	Chylomicron-mediated lipid transport	REACTOME	17	Chylomicron-mediated lipid transport
367	106158	HDL-mediated lipid transport	REACTOME	15	HDL-mediated lipid transport
368	106160	Membrane Trafficking	REACTOME	192	Membrane Trafficking
369	106165	trans-Golgi Network Vesicle Budding*	REACTOME	62	trans-Golgi Network Vesicle Budding*
370	106169	Metabolism of amino acids and derivatives	REACTOME	192	Metabolism of amino acids and derivatives
371	106170	Amino acid transport across the plasma membrane	REACTOME	31	Amino acid transport across the plasma membrane
372	106173	Amino acid synthesis and interconversion (transamination)	REACTOME	16	Amino acid synthesis and interconversion (transamination)
373	106176	Regulation of ornithine decarboxylase (ODC)	REACTOME	50	Regulation of ornithine decarboxylase (ODC)
374	106179	Branched-chain amino acid catabolism	REACTOME	18	Branched-chain amino acid catabolism
375	106193	Metabolism of polyamines	REACTOME	15	Metabolism of polyamines
376	106196	Metabolism of carbohydrates*	REACTOME	263	Metabolism of carbohydrates*
377	106198	Hexose transport	REACTOME	46	Hexose transport
378	106199	Glucose metabolism	REACTOME	71	Glucose metabolism
379	106200	Glucose transport	REACTOME	40	Glucose transport
380	106203	Regulation of Glucokinase by Glucokinase Regulatory Protein	REACTOME	29	Regulation of Glucokinase by Glucokinase Regulatory Protein
381	106204	Gluconeogenesis	REACTOME	31	Gluconeogenesis
382	106205	Pyruvate metabolism	REACTOME	20	Pyruvate metabolism (REACTOME)
383	106212	Glycogen breakdown (glycogenolysis)	REACTOME	16	Glycogen breakdown (glycogenolysis)
384	106222	Metabolism of nitric oxide*	REACTOME	19	Metabolism of nitric oxide*
385	106228	Metabolism of non-coding RNA*	REACTOME	50	Metabolism of non-coding RNA*
386	106230	Metabolism of proteins	REACTOME	688	Metabolism of proteins
387	106231	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation	REACTOME	28	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation
388	106232	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	REACTOME	11	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins
389	106236	Post-translational modification: synthesis of GPI-anchored proteins	REACTOME	26	Post-translational modification: synthesis of GPI-anchored proteins
390	106238	Synthesis of glycosylphosphatidylinositol (GPI)	REACTOME	17	Synthesis of glycosylphosphatidylinositol (GPI)
391	106241	Protein folding	REACTOME	56	Protein folding
392	106242	Chaperonin-mediated protein folding	REACTOME	50	Chaperonin-mediated protein folding
393	106243	Cooperation of Prefoldin and TriC/CCT in actin and tubulin folding*	REACTOME	29	Cooperation of Prefoldin and TriC/CCT in actin and tubulin folding*
394	106245	Formation of tubulin folding intermediates by CCT/TriC	REACTOME	22	Formation of tubulin folding intermediates by CCT/TriC
395	106247	Association of TriC/CCT with target proteins during biosynthesis	REACTOME	29	Association of TriC/CCT with target proteins during biosynthesis
396	106249	Metabolism of vitamins and cofactors*	REACTOME	82	Metabolism of vitamins and cofactors*
397	106254	Vitamin B5 (pantothenate) metabolism	REACTOME	11	Vitamin B5 (pantothenate) metabolism
398	106257	Biotin transport and metabolism	REACTOME	10	Biotin transport and metabolism
399	106261	Muscle contraction	REACTOME	51	Muscle contraction
400	106262	Striated Muscle Contraction	REACTOME	31	Striated Muscle Contraction (REACTOME)
401	106263	Metabolism of nucleotides	REACTOME	80	Metabolism of nucleotides
402	106265	Purine metabolism	REACTOME	34	Purine metabolism (REACTOME)
403	106266	Purine ribonucleoside monophosphate biosynthesis	REACTOME	11	Purine ribonucleoside monophosphate biosynthesis
404	106273	Purine salvage	REACTOME	13	Purine salvage
405	106276	Purine catabolism	REACTOME	11	Purine catabolism
406	106281	Pyrimidine metabolism	REACTOME	24	Pyrimidine metabolism (REACTOME)
407	106288	Pyrimidine catabolism	REACTOME	12	Pyrimidine catabolism
408	106325	Metabolism of porphyrins	REACTOME	24	Metabolism of porphyrins
409	106326	Heme biosynthesis	REACTOME	11	Heme biosynthesis
410	106327	Pyruvate metabolism and Citric Acid (TCA) cycle	REACTOME	41	Pyruvate metabolism and Citric Acid (TCA) cycle
411	106328	Regulation of beta-cell development	REACTOME	33	Regulation of beta-cell development
412	106332	Regulation of gene expression in beta cells	REACTOME	21	Regulation of gene expression in beta cells
413	106334	Regulatory RNA pathways	REACTOME	26	Regulatory RNA pathways
414	106335	MicroRNA (miRNA) biogenesis	REACTOME	23	MicroRNA (miRNA) biogenesis
415	106336	Signaling by BMP	REACTOME	23	Signaling by BMP
416	106339	GRB2 events in EGFR signaling	REACTOME	14	GRB2 events in EGFR signaling
417	106340	SHC1 events in EGFR signaling	REACTOME	15	SHC1 events in EGFR signaling
418	106341	GAB1 signalosome*	REACTOME	102	GAB1 signalosome*
419	106342	EGFR downregulation	REACTOME	26	EGFR downregulation
420	106343	Signaling by FGFR*	REACTOME	156	Signaling by FGFR*
421	106344	FGFR ligand binding and activation	REACTOME	23	FGFR ligand binding and activation
422	106345	FGFR1 ligand binding and activation	REACTOME	14	FGFR1 ligand binding and activation
423	106349	FGFR2 ligand binding and activation*	REACTOME	17	FGFR2 ligand binding and activation*
424	106356	Signaling by GPCR	REACTOME	1014	Signaling by GPCR
425	106357	Class A/1 (Rhodopsin-like receptors)	REACTOME	313	Class A/1 (Rhodopsin-like receptors)
426	106358	Peptide ligand-binding receptors	REACTOME	188	Peptide ligand-binding receptors
427	106359	Chemokine receptors bind chemokines	REACTOME	55	Chemokine receptors bind chemokines
428	106363	Amine ligand-binding receptors	REACTOME	41	Amine ligand-binding receptors
429	106368	Serotonin receptors	REACTOME	12	Serotonin receptors
430	106369	Hormone ligand-binding receptors	REACTOME	10	Hormone ligand-binding receptors
431	106370	Eicosanoid ligand-binding receptors	REACTOME	15	Eicosanoid ligand-binding receptors
432	106373	Nucleotide-like (purinergic) receptors	REACTOME	18	Nucleotide-like (purinergic) receptors
433	106374	P2Y receptors	REACTOME	14	P2Y receptors
434	106378	Class B/2 (Secretin family receptors)	REACTOME	89	Class B/2 (Secretin family receptors)
435	106380	Glucagon-type ligand receptors	REACTOME	32	Glucagon-type ligand receptors
436	106381	Class C/3 (Metabotropic glutamate/pheromone receptors)	REACTOME	39	Class C/3 (Metabotropic glutamate/pheromone receptors)
437	106383	Olfactory Signaling Pathway	REACTOME	377	Olfactory Signaling Pathway
438	106384	Signaling by PDGF	REACTOME	178	Signaling by PDGF
439	106385	Downstream signal transduction	REACTOME	155	Downstream signal transduction
440	106386	Immune System	REACTOME	1138	Immune System
441	106387	Innate Immune System	REACTOME	575	Innate Immune System
442	106388	Toll-Like Receptors Cascades	REACTOME	138	Toll-Like Receptors Cascades
443	106389	Toll Like Receptor 10 (TLR10) Cascade*	REACTOME	80	Toll Like Receptor 10 (TLR10) Cascade*
444	106390	MyD88:Mal cascade initiated on plasma membrane*	REACTOME	89	MyD88:Mal cascade initiated on plasma membrane*
445	106391	Toll Like Receptor 3 (TLR3) Cascade*	REACTOME	95	Toll Like Receptor 3 (TLR3) Cascade*
446	106396	Toll Like Receptor 7/8 (TLR7/8) Cascade*	REACTOME	84	Toll Like Receptor 7/8 (TLR7/8) Cascade*
447	106397	Toll Like Receptor 9 (TLR9) Cascade	REACTOME	88	Toll Like Receptor 9 (TLR9) Cascade
448	106398	Toll Like Receptor 4 (TLR4) Cascade	REACTOME	118	Toll Like Receptor 4 (TLR4) Cascade
449	106400	Activated TLR4 signalling	REACTOME	109	Activated TLR4 signalling
450	106405	Complement cascade	REACTOME	36	Complement cascade
451	106406	Initial triggering of complement	REACTOME	18	Initial triggering of complement
452	106413	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	REACTOME	69	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
453	106414	TCR signaling	REACTOME	58	TCR signaling
454	106415	Phosphorylation of CD3 and TCR zeta chains	REACTOME	18	Phosphorylation of CD3 and TCR zeta chains
455	106416	Translocation of ZAP-70 to Immunological synapse	REACTOME	16	Translocation of ZAP-70 to Immunological synapse
456	106417	Generation of second messenger molecules	REACTOME	29	Generation of second messenger molecules
457	106418	Downstream TCR signaling	REACTOME	41	Downstream TCR signaling
458	106419	Signaling by Insulin receptor	REACTOME	111	Signaling by Insulin receptor
459	106420	Insulin receptor signalling cascade*	REACTOME	88	Insulin receptor signalling cascade*
460	106421	SHC-related events	REACTOME	18	SHC-related events
461	106423	SHC-mediated signalling	REACTOME	15	SHC-mediated signalling
462	106427	PI3K Cascade	REACTOME	69	PI3K Cascade
463	106428	PKB-mediated events*	REACTOME	28	PKB-mediated events*
464	106437	SOS-mediated signalling	REACTOME	14	SOS-mediated signalling
465	106438	Insulin receptor recycling	REACTOME	26	Insulin receptor recycling
466	106439	Signalling by NGF	REACTOME	281	Signalling by NGF
467	106441	p75 NTR receptor-mediated signalling	REACTOME	83	p75 NTR receptor-mediated signalling
468	106443	Cell death signalling via NRAGE, NRIF and NADE	REACTOME	61	Cell death signalling via NRAGE, NRIF and NADE
469	106444	NRAGE signals death through JNK	REACTOME	45	NRAGE signals death through JNK
470	106445	NRIF signals cell death from the nucleus	REACTOME	15	NRIF signals cell death from the nucleus
471	106448	p75NTR signals via NF-kB	REACTOME	16	p75NTR signals via NF-kB
472	106449	p75NTR recruits signalling complexes	REACTOME	13	p75NTR recruits signalling complexes
473	106450	NF-kB is activated and signals survival	REACTOME	13	NF-kB is activated and signals survival
474	106459	NGF signalling via TRKA from the plasma membrane	REACTOME	200	NGF signalling via TRKA from the plasma membrane
475	106460	Signalling to ERKs	REACTOME	37	Signalling to ERKs
476	106461	Signalling to RAS	REACTOME	27	Signalling to RAS
477	106463	Signalling to p38 via RIT and RIN	REACTOME	15	Signalling to p38 via RIT and RIN
478	106464	Prolonged ERK activation events*	REACTOME	20	Prolonged ERK activation events*
479	106466	ARMS-mediated activation	REACTOME	16	ARMS-mediated activation
480	106467	PLC-gamma1 signalling	REACTOME	35	PLC-gamma1 signalling
481	106468	CaM pathway*	REACTOME	28	CaM pathway*
482	106470	PKA-mediated phosphorylation of CREB	REACTOME	17	PKA-mediated phosphorylation of CREB
483	106471	PKA activation	REACTOME	16	PKA activation
484	106475	AKT phosphorylates targets in the cytosol	REACTOME	13	AKT phosphorylates targets in the cytosol
485	106481	Nuclear Events (kinase and transcription factor activation)	REACTOME	24	Nuclear Events (kinase and transcription factor activation)
486	106482	ERK/MAPK targets	REACTOME	21	ERK/MAPK targets
487	106485	Signaling by NOTCH	REACTOME	112	Signaling by NOTCH
488	106493	Opioid Signalling	REACTOME	85	Opioid Signalling
489	106494	G-protein activation	REACTOME	30	G-protein activation
490	106495	G-protein mediated events*	REACTOME	46	G-protein mediated events*
491	106497	Ca-dependent events	REACTOME	30	Ca-dependent events
492	106500	Adenylate cyclase inhibitory pathway*	REACTOME	14	Adenylate cyclase inhibitory pathway*
493	106501	DARPP-32 events	REACTOME	27	DARPP-32 events
494	106502	Signaling by Rho GTPases*	REACTOME	123	Signaling by Rho GTPases*
495	106504	Signaling by TGF-beta Receptor Complex*	REACTOME	70	Signaling by TGF-beta Receptor Complex*
496	106510	Signaling by Wnt	REACTOME	312	Signaling by Wnt
497	106513	Neuronal System	REACTOME	279	Neuronal System
498	106516	Transmission across Chemical Synapses	REACTOME	200	Transmission across Chemical Synapses
499	106517	Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels	REACTOME	12	Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels
500	106518	Neurotransmitter Release Cycle	REACTOME	37	Neurotransmitter Release Cycle
501	106519	Norepinephrine Neurotransmitter Release Cycle	REACTOME	12	Norepinephrine Neurotransmitter Release Cycle
502	106522	Glutamate Neurotransmitter Release Cycle	REACTOME	16	Glutamate Neurotransmitter Release Cycle
503	106534	Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell	REACTOME	144	Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell
504	106535	Acetylcholine Binding And Downstream Events*	REACTOME	15	Acetylcholine Binding And Downstream Events*
505	106536	Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity*	REACTOME	30	Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity*
506	106538	Trafficking of GluR2-containing AMPA receptors	REACTOME	16	Trafficking of GluR2-containing AMPA receptors
507	106540	Telomere Maintenance	REACTOME	77	Telomere Maintenance
508	106541	Extension of Telomeres	REACTOME	28	Extension of Telomeres
509	106543	Telomere C-strand (Lagging Strand) Synthesis	REACTOME	22	Telomere C-strand (Lagging Strand) Synthesis
510	106548	Packaging Of Telomere Ends	REACTOME	49	Packaging Of Telomere Ends
511	106550	RNA Polymerase I Transcription*	REACTOME	101	RNA Polymerase I Transcription*
512	106553	RNA Polymerase I Transcription Initiation	REACTOME	40	RNA Polymerase I Transcription Initiation
513	106554	RNA Polymerase I Promoter Escape	REACTOME	22	RNA Polymerase I Promoter Escape
514	106555	RNA Polymerase I Chain Elongation	REACTOME	79	RNA Polymerase I Chain Elongation
515	106556	RNA Polymerase I Transcription Termination	REACTOME	23	RNA Polymerase I Transcription Termination
516	106557	RNA Polymerase II Transcription	REACTOME	101	RNA Polymerase II Transcription
517	106559	RNA Polymerase II Transcription Termination*	REACTOME	43	RNA Polymerase II Transcription Termination*
518	106561	RNA Polymerase III Transcription*	REACTOME	40	RNA Polymerase III Transcription*
519	106562	RNA Polymerase III Transcription Initiation	REACTOME	35	RNA Polymerase III Transcription Initiation
520	106563	RNA Polymerase III Transcription Initiation From Type 1 Promoter*	REACTOME	27	RNA Polymerase III Transcription Initiation From Type 1 Promoter*
521	106565	RNA Polymerase III Transcription Initiation From Type 3 Promoter	REACTOME	28	RNA Polymerase III Transcription Initiation From Type 3 Promoter
522	106566	RNA Polymerase III Chain Elongation	REACTOME	18	RNA Polymerase III Chain Elongation
523	106567	RNA Polymerase III Transcription Termination	REACTOME	23	RNA Polymerase III Transcription Termination
524	106572	Transmembrane transport of small molecules	REACTOME	535	Transmembrane transport of small molecules
525	106573	ABC-family proteins mediated transport	REACTOME	36	ABC-family proteins mediated transport
526	114227	Dorso-ventral axis formation	KEGG	24	Dorso-ventral axis formation
527	114228	Fc gamma R-mediated phagocytosis	KEGG	91	Fc gamma R-mediated phagocytosis
528	114229	Hypertrophic cardiomyopathy (HCM)	KEGG	83	Hypertrophic cardiomyopathy (HCM)
529	117291	RNA degradation	KEGG	74	RNA degradation
530	117292	RIG-I-like receptor signaling pathway	KEGG	70	RIG-I-like receptor signaling pathway
531	117293	Arrhythmogenic right ventricular cardiomyopathy (ARVC)*	KEGG	74	Arrhythmogenic right ventricular cardiomyopathy (ARVC)*
532	119304	Progesterone-mediated oocyte maturation	KEGG	86	Progesterone-mediated oocyte maturation
533	119519	Semaphorin interactions	REACTOME	66	Semaphorin interactions
534	119520	Sema4D in semaphorin signaling	REACTOME	27	Sema4D in semaphorin signaling
535	119522	Sema4D induced cell migration and growth-cone collapse	REACTOME	24	Sema4D induced cell migration and growth-cone collapse
536	119523	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	REACTOME	14	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
537	119524	Sema3A PAK dependent Axon repulsion	REACTOME	15	Sema3A PAK dependent Axon repulsion
538	119525	CRMPs in Sema3A signaling	REACTOME	16	CRMPs in Sema3A signaling
539	119526	Other semaphorin interactions	REACTOME	19	Other semaphorin interactions
540	119527	Signaling by Robo receptor	REACTOME	32	Signaling by Robo receptor
541	119530	Activation of Rac	REACTOME	14	Activation of Rac
542	119532	Cell-cell junction organization	REACTOME	60	Cell-cell junction organization
543	119533	Adherens junctions interactions	REACTOME	30	Adherens junctions interactions
544	119535	Tight junction interactions	REACTOME	30	Tight junction interactions
545	119538	Synthesis, secretion, and deacylation of Ghrelin	REACTOME	18	Synthesis, secretion, and deacylation of Ghrelin
546	119539	G-protein beta:gamma signalling	REACTOME	30	G-protein beta:gamma signalling
547	119540	G beta:gamma signalling through PI3Kgamma	REACTOME	27	G beta:gamma signalling through PI3Kgamma
548	119541	G beta:gamma signalling through PLC beta	REACTOME	22	G beta:gamma signalling through PLC beta
549	119543	Sphingolipid metabolism	REACTOME	71	Sphingolipid metabolism (REACTOME)
550	119544	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)*	REACTOME	122	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)*
551	119546	Golgi Associated Vesicle Biogenesis	REACTOME	55	Golgi Associated Vesicle Biogenesis
552	119547	Lysosome Vesicle Biogenesis	REACTOME	25	Lysosome Vesicle Biogenesis
553	119548	GPCR downstream signaling	REACTOME	906	GPCR downstream signaling
554	119549	G alpha (s) signalling events	REACTOME	131	G alpha (s) signalling events
555	119550	G alpha (i) signalling events	REACTOME	237	G alpha (i) signalling events
556	119551	G alpha (z) signalling events	REACTOME	48	G alpha (z) signalling events
557	119552	Costimulation by the CD28 family	REACTOME	65	Costimulation by the CD28 family
558	119553	CD28 co-stimulation	REACTOME	31	CD28 co-stimulation
559	119554	CD28 dependent PI3K/Akt signaling	REACTOME	21	CD28 dependent PI3K/Akt signaling
560	119556	CTLA4 inhibitory signaling	REACTOME	22	CTLA4 inhibitory signaling
561	119557	PD-1 signaling	REACTOME	21	PD-1 signaling
562	119558	SLC-mediated transmembrane transport	REACTOME	254	SLC-mediated transmembrane transport
563	119559	Transport of inorganic cations/anions and amino acids/oligopeptides	REACTOME	96	Transport of inorganic cations/anions and amino acids/oligopeptides
564	119571	Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds	REACTOME	97	Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds
565	119572	Facilitative Na+-independent glucose transporters	REACTOME	12	Facilitative Na+-independent glucose transporters
566	121494	Dilated cardiomyopathy	KEGG	90	Dilated cardiomyopathy
567	122191	NOD-like receptor signaling pathway	KEGG	57	NOD-like receptor signaling pathway
568	125136	Spliceosome	KEGG	130	Spliceosome
569	125137	Cytosolic DNA-sensing pathway	KEGG	62	Cytosolic DNA-sensing pathway
570	125138	Viral myocarditis	KEGG	56	Viral myocarditis
571	126909	Oocyte meiosis	KEGG	110	Oocyte meiosis
572	128760	Intestinal immune network for IgA production	KEGG	45	Intestinal immune network for IgA production
573	130626	Aldosterone-regulated sodium reabsorption	KEGG	39	Aldosterone-regulated sodium reabsorption
574	131226	Peroxisome	KEGG	81	Peroxisome
575	137910	CXCR4-mediated signaling events	Pathway Interaction Database	76	CXCR4-mediated signaling events
576	137911	FOXA2 and FOXA3 transcription factor networks	Pathway Interaction Database	44	FOXA2 and FOXA3 transcription factor networks
577	137912	Hedgehog signaling events mediated by Gli proteins	Pathway Interaction Database	43	Hedgehog signaling events mediated by Gli proteins
578	137913	Alpha-synuclein signaling	Pathway Interaction Database	32	Alpha-synuclein signaling
579	137914	Presenilin action in Notch and Wnt signaling	Pathway Interaction Database	46	Presenilin action in Notch and Wnt signaling
580	137915	Signaling events regulated by Ret tyrosine kinase	Pathway Interaction Database	38	Signaling events regulated by Ret tyrosine kinase
581	137916	Regulation of retinoblastoma protein	Pathway Interaction Database	56	Regulation of retinoblastoma protein
582	137917	Angiopoietin receptor Tie2-mediated signaling	Pathway Interaction Database	48	Angiopoietin receptor Tie2-mediated signaling
583	137918	Stabilization and expansion of the E-cadherin adherens junction	Pathway Interaction Database	40	Stabilization and expansion of the E-cadherin adherens junction
584	137919	N-cadherin signaling events	Pathway Interaction Database	33	N-cadherin signaling events
585	137920	TRAIL signaling pathway	Pathway Interaction Database	25	TRAIL signaling pathway
586	137922	IL12-mediated signaling events	Pathway Interaction Database	60	IL12-mediated signaling events
587	137924	VEGFR1 specific signals	Pathway Interaction Database	29	VEGFR1 specific signals
588	137925	Aurora A signaling	Pathway Interaction Database	31	Aurora A signaling
589	137926	Visual signal transduction: Cones	Pathway Interaction Database	23	Visual signal transduction: Cones
590	137927	Arf1 pathway	Pathway Interaction Database	18	Arf1 pathway
591	137928	LPA receptor mediated events	Pathway Interaction Database	65	LPA receptor mediated events
592	137929	IL27-mediated signaling events	Pathway Interaction Database	26	IL27-mediated signaling events
593	137930	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	Pathway Interaction Database	72	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)
594	137931	Sphingosine 1-phosphate (S1P) pathway	Pathway Interaction Database	21	Sphingosine 1-phosphate (S1P) pathway
595	137932	IL6-mediated signaling events	Pathway Interaction Database	43	IL6-mediated signaling events
596	137933	IL4-mediated signaling events	Pathway Interaction Database	60	IL4-mediated signaling events
597	137934	E2F transcription factor network	Pathway Interaction Database	72	E2F transcription factor network
598	137935	FOXM1 transcription factor network	Pathway Interaction Database	39	FOXM1 transcription factor network
599	137936	IL12 signaling mediated by STAT4	Pathway Interaction Database	28	IL12 signaling mediated by STAT4
600	137937	S1P1 pathway	Pathway Interaction Database	20	S1P1 pathway
601	137938	IL2 signaling events mediated by PI3K	Pathway Interaction Database	37	IL2 signaling events mediated by PI3K
602	137939	Direct p53 effectors	Pathway Interaction Database	134	Direct p53 effectors
603	137940	Signaling events mediated by VEGFR1 and VEGFR2	Pathway Interaction Database	63	Signaling events mediated by VEGFR1 and VEGFR2
604	137941	Calcium signaling in the CD4+ TCR pathway	Pathway Interaction Database	28	Calcium signaling in the CD4+ TCR pathway
605	137943	p38 MAPK signaling pathway	Pathway Interaction Database	29	p38 MAPK signaling pathway (Pathway Interaction Database)
606	137944	IL1-mediated signaling events	Pathway Interaction Database	35	IL1-mediated signaling events
607	137945	amb2 Integrin signaling	Pathway Interaction Database	48	amb2 Integrin signaling
608	137946	Atypical NF-kappaB pathway	Pathway Interaction Database	14	Atypical NF-kappaB pathway
609	137948	BMP receptor signaling	Pathway Interaction Database	36	BMP receptor signaling
610	137949	LPA4-mediated signaling events	Pathway Interaction Database	15	LPA4-mediated signaling events
611	137950	Signaling events mediated by the Hedgehog family	Pathway Interaction Database	22	Signaling events mediated by the Hedgehog family
612	137952	Syndecan-3-mediated signaling events	Pathway Interaction Database	17	Syndecan-3-mediated signaling events
613	137953	Role of Calcineurin-dependent NFAT signaling in lymphocytes	Pathway Interaction Database	51	Role of Calcineurin-dependent NFAT signaling in lymphocytes
614	137954	Arf6 trafficking events	Pathway Interaction Database	44	Arf6 trafficking events
615	137955	ErbB2/ErbB3 signaling events	Pathway Interaction Database	35	ErbB2/ErbB3 signaling events
616	137956	HIF-2-alpha transcription factor network	Pathway Interaction Database	34	HIF-2-alpha transcription factor network
617	137957	LKB1 signaling events	Pathway Interaction Database	42	LKB1 signaling events
618	137958	Endothelins	Pathway Interaction Database	53	Endothelins
619	137959	BARD1 signaling events	Pathway Interaction Database	29	BARD1 signaling events
620	137960	Osteopontin-mediated events	Pathway Interaction Database	32	Osteopontin-mediated events
621	137961	EPHA2 forward signaling	Pathway Interaction Database	17	EPHA2 forward signaling
622	137962	Wnt signaling network	Pathway Interaction Database	28	Wnt signaling network
623	137963	Regulation of nuclear SMAD2/3 signaling	Pathway Interaction Database	77	Regulation of nuclear SMAD2/3 signaling
624	137964	Regulation of p38-alpha and p38-beta	Pathway Interaction Database	27	Regulation of p38-alpha and p38-beta
625	137967	Trk receptor signaling mediated by PI3K and PLC-gamma	Pathway Interaction Database	32	Trk receptor signaling mediated by PI3K and PLC-gamma
626	137968	ALK1 signaling events	Pathway Interaction Database	24	ALK1 signaling events
627	137969	Signaling events mediated by PRL	Pathway Interaction Database	23	Signaling events mediated by PRL
628	137970	EGF receptor (ErbB1) signaling pathway	Pathway Interaction Database	25	EGF receptor (ErbB1) signaling pathway
629	137971	Paxillin-independent events mediated by a4b1 and a4b7	Pathway Interaction Database	22	Paxillin-independent events mediated by a4b1 and a4b7
630	137972	Signaling events mediated by HDAC Class III	Pathway Interaction Database	39	Signaling events mediated by HDAC Class III
631	137974	Caspase cascade in apoptosis	Pathway Interaction Database	50	Caspase cascade in apoptosis
632	137975	RXR and RAR heterodimerization with other nuclear receptor	Pathway Interaction Database	14	RXR and RAR heterodimerization with other nuclear receptor
633	137976	IL2-mediated signaling events	Pathway Interaction Database	52	IL2-mediated signaling events
634	137977	Neurotrophic factor-mediated Trk receptor signaling	Pathway Interaction Database	56	Neurotrophic factor-mediated Trk receptor signaling
635	137978	Circadian rhythm pathway	Pathway Interaction Database	13	Circadian rhythm pathway
