setID	setName	source	setsize.orig
119533	Adherens junctions interactions	REACTOME	29
119532	Cell-cell junction organization	REACTOME	59
119530	Activation of Rac	REACTOME	14
119527	Signaling by Robo receptor	REACTOME	32
119526	Other semaphorin interactions	REACTOME	16
119525	CRMPs in Sema3A signaling	REACTOME	16
119524	Sema3A PAK dependent Axon repulsion	REACTOME	15
119523	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	REACTOME	14
119522	Sema4D induced cell migration and growth-cone collapse	REACTOME	24
119520	Sema4D in semaphorin signaling	REACTOME	29
119519	Semaphorin interactions	REACTOME	66
119304	Progesterone-mediated oocyte maturation	KEGG	86
117293	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	KEGG	74
117292	RIG-I-like receptor signaling pathway	KEGG	70
117291	RNA degradation	KEGG	71
114229	Hypertrophic cardiomyopathy (HCM)	KEGG	83
114228	Fc gamma R-mediated phagocytosis	KEGG	94
114227	Dorso-ventral axis formation	KEGG	24
106574	mRNA Processing	REACTOME	157
106573	ABC-family proteins mediated transport	REACTOME	11
106572	Transmembrane transport of small molecules	REACTOME	404
106567	RNA Polymerase III Transcription Termination	REACTOME	17
106566	RNA Polymerase III Chain Elongation	REACTOME	12
106565	RNA Polymerase III Transcription Initiation From Type 3 Promoter	REACTOME	22
106563	RNA Polymerase III Transcription Initiation From Type 1 Promoter*	REACTOME	21
106562	RNA Polymerase III Transcription Initiation	REACTOME	29
106561	RNA Polymerase III Transcription*	REACTOME	34
106559	RNA Polymerase II Transcription Termination*	REACTOME	43
106557	RNA Polymerase II Transcription	REACTOME	101
106556	RNA Polymerase I Transcription Termination	REACTOME	21
106555	RNA Polymerase I Chain Elongation	REACTOME	77
106554	RNA Polymerase I Promoter Escape	REACTOME	20
106553	RNA Polymerase I Transcription Initiation	REACTOME	25
106552	RNA Polymerase I Promoter Opening	REACTOME	60
106550	RNA Polymerase I Transcription*	REACTOME	86
106549	Transcription	REACTOME	208
106548	Packaging Of Telomere Ends	REACTOME	49
106547	Removal of the Flap Intermediate from the C-strand	REACTOME	10
106546	Processive synthesis on the C-strand of the telomere	REACTOME	11
106543	Telomere C-strand (Lagging Strand) Synthesis	REACTOME	22
106541	Extension of Telomeres	REACTOME	28
106540	Telomere Maintenance	REACTOME	77
106538	Trafficking of GluR2-containing AMPA receptors	REACTOME	16
106536	Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity*	REACTOME	30
106535	Acetylcholine Binding And Downstream Events*	REACTOME	15
106534	Neuroransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell	REACTOME	141
106525	Acetylcholine Neurotransmitter Release Cycle	REACTOME	11
106523	Dopamine Neurotransmitter Release Cycle	REACTOME	14
106522	Glutamate Neurotransmitter Release Cycle	REACTOME	16
106520	Serotonin Neurotransmitter Release Cycle	REACTOME	12
106519	Norepinephrine Neurotransmitter Release Cycle	REACTOME	11
106518	Neurotransmitter Release Cycle	REACTOME	38
106517	Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels	REACTOME	12
106513	Synaptic Transmission*	REACTOME	202
106512	Beta-catenin phosphorylation cascade	REACTOME	13
106510	Signaling by Wnt*	REACTOME	64
106506	Signaling by VEGF*	REACTOME	11
106504	Signaling by TGF beta	REACTOME	15
106502	Signaling by Rho GTPases*	REACTOME	126
106501	DARPP-32 events	REACTOME	27
106500	Adenylate cyclase inhibitory pathway*	REACTOME	13
106499	Adenylate cyclase activating pathway	REACTOME	10
106497	Ca-dependent events	REACTOME	30
106495	G-protein mediated events*	REACTOME	46
106494	G-protein activation	REACTOME	30
106493	Opioid Signalling	REACTOME	85
106485	Signaling by Notch	REACTOME	16
106483	ERKs are inactivated	REACTOME	12
106482	ERK/MAPK targets	REACTOME	21
106481	Nuclear Events (kinase and transcription factor activation)	REACTOME	24
106480	Retrograde neurotrophin signalling	REACTOME	14
106475	AKT phosphorylates targets in the cytosol	REACTOME	14
106474	PI3K/AKT signalling	REACTOME	37
106471	PKA activation	REACTOME	16
106470	PKA-mediated phosphorylation of CREB	REACTOME	17
106468	CaM pathway*	REACTOME	28
106467	PLC-gamma1 signalling	REACTOME	36
106466	ARMS-mediated activation	REACTOME	17
106465	Frs2-mediated activation	REACTOME	17
106464	Prolonged ERK activation events	REACTOME	18
106463	Signalling to p38 via RIT and RIN	REACTOME	15
106462	p38MAPK events	REACTOME	13
106461	Signalling to RAS	REACTOME	27
106460	Signalling to ERKs	REACTOME	35
106459	NGF signalling via TRKA from the plasma membrane	REACTOME	138
106450	NF-kB is activated and signals survival	REACTOME	13
106449	p75NTR recruits signalling complexes	REACTOME	13
106448	p75NTR signals via NF-kB	REACTOME	16
106445	NRIF signals cell death from the nucleus	REACTOME	16
106444	NRAGE signals death through JNK	REACTOME	47
106443	Cell death signalling via NRAGE, NRIF and NADE	REACTOME	64
106441	p75 NTR receptor-mediated signalling	REACTOME	86
106439	Signalling by NGF	REACTOME	223
106438	Insulin receptor recycling	REACTOME	26
106437	SOS-mediated signalling	REACTOME	14
106428	PKB-mediated events*	REACTOME	28
106427	PI3K Cascade	REACTOME	71
106424	IRS-related events*	REACTOME	82
106423	SHC-mediated signalling	REACTOME	15
106421	SHC-related events	REACTOME	18
106420	Insulin receptor signalling cascade	REACTOME	87
106419	Signaling by Insulin receptor	REACTOME	110
106418	Downstream TCR signaling	REACTOME	45
106417	Generation of second messenger molecules	REACTOME	33
106416	Translocation of ZAP-70 to Immunological synapse	REACTOME	20
106415	Phosphorylation of CD3 and TCR zeta chains	REACTOME	22
106414	TCR signaling	REACTOME	62
106413	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	REACTOME	70
106406	Initial triggering of complement	REACTOME	14
106405	Complement cascade	REACTOME	21
106401	MyD88-independent cascade initiated on plasma membrane*	REACTOME	76
106398	Toll Like Receptor 4 (TLR4) Cascade*	REACTOME	97
106397	Toll Like Receptor 9 (TLR9) Cascade*	REACTOME	88
106393	TRAF6 Mediated Induction of proinflammatory cytokines	REACTOME	68
106392	Viral dsRNA:TLR3:TRIF Complex Activates RIP1	REACTOME	28
106391	Toll Like Receptor 3 (TLR3) Cascade	REACTOME	74
106388	Toll Receptor Cascades	REACTOME	109
106387	Innate Immunity Signaling	REACTOME	135
106386	Signaling in Immune system	REACTOME	460
106385	Down-stream signal transduction	REACTOME	36
106384	Signaling by PDGF	REACTOME	65
106383	Olfactory Signaling Pathway	REACTOME	351
106381	Class C/3 (Metabotropic glutamate/pheromone receptors)	REACTOME	15
106380	Glucagon-type ligand receptors	REACTOME	35
106379	Calcitonin-like ligand receptors	REACTOME	10
106378	Class B/2 (Secretin family receptors)	REACTOME	92
106374	P2Y receptors	REACTOME	14
106373	Nucleotide-like (purinergic) receptors	REACTOME	18
106370	Eicosanoid ligand-binding receptors	REACTOME	15
106368	Serotonin receptors	REACTOME	12
106363	Amine ligand-binding receptors	REACTOME	41
106359	Chemokine receptors bind chemokines	REACTOME	55
106358	Peptide ligand-binding receptors	REACTOME	188
106357	Class A/1 (Rhodopsin-like receptors)	REACTOME	308
106356	Signaling by GPCR	REACTOME	914
106344	FGFR ligand binding and activation*	REACTOME	27
106343	Signaling by FGFR*	REACTOME	47
106342	EGFR downregulation	REACTOME	27
106341	Gab1 signalosome	REACTOME	11
106340	Shc events in EGFR signaling	REACTOME	15
106339	Grb2 events in EGFR signaling	REACTOME	14
106337	Signaling by EGFR	REACTOME	52
106336	Signaling by BMP	REACTOME	23
106334	Regulatory RNA pathways*	REACTOME	22
106332	Regulation of gene expression in beta cells	REACTOME	103
106328	Regulation of beta-cell development	REACTOME	115
106327	Pyruvate metabolism and Citric Acid (TCA) cycle	REACTOME	40
106325	Metabolism of porphyrins	REACTOME	22
106288	Pyrimidine catabolism	REACTOME	12
106281	Pyrimidine metabolism	REACTOME	24
106276	Purine catabolism	REACTOME	11
106273	Purine salvage	REACTOME	12
106266	Purine ribonucleoside monophosphate biosynthesis	REACTOME	11
106265	Purine metabolism	REACTOME	33
106263	Metabolism of nucleotides	REACTOME	79
106262	Striated Muscle Contraction	REACTOME	31
106261	Muscle contraction	REACTOME	51
106254	Vitamin B5 (pantothenate) metabolism	REACTOME	11
106250	Metabolism of water-soluble vitamins and cofactors	REACTOME	51
106249	Metabolism of vitamins and cofactors	REACTOME	58
106248	Post-chaperonin tubulin folding pathway	REACTOME	19
106247	Association of TriC/CCT with target proteins during biosynthesis	REACTOME	29
106245	Formation of tubulin folding intermediates by CCT/TriC	REACTOME	22
106243	Cooperation of Prefoldin and TriC/CCT in actin and tubulin folding*	REACTOME	29
106242	Chaperonin-mediated protein folding	REACTOME	50
106241	Protein folding	REACTOME	55
106238	Synthesis of glycosylphosphatidylinositol (GPI)	REACTOME	17
106236	Post-translational modification: synthesis of GPI-anchored proteins	REACTOME	26
106232	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	REACTOME	11
106231	Post-translational modification: gamma carboxylation and hypusine formation	REACTOME	15
106230	Metabolism of proteins	REACTOME	297
106228	Metabolism of non-coding RNA*	REACTOME	50
106222	Metabolism of nitric oxide*	REACTOME	13
106212	Glycogen breakdown (glycogenolysis)	REACTOME	16
106205	Pyruvate metabolism	REACTOME	18
106204	Gluconeogenesis	REACTOME	31
106203	Regulation of Glucokinase by Glucokinase Regulatory Protein	REACTOME	29
106199	Glucose metabolism	REACTOME	64
106198	Hexose transport*	REACTOME	42
106196	Metabolism of carbohydrates	REACTOME	130
106190	Tryptophan catabolism	REACTOME	11
106179	Branched-chain amino acid catabolism	REACTOME	18
106176	Regulation of ornithine decarboxylase (ODC)	REACTOME	50
106173	Amino acid synthesis and interconversion (transamination)	REACTOME	13
106170	Amino acid transport across the plasma membrane	REACTOME	31
106169	Metabolism of amino acids and derivatives	REACTOME	198
106165	trans-Golgi Network Vesicle Budding*	REACTOME	61
106163	Golgi to ER Retrograde Transport*	REACTOME	10
106160	Membrane Trafficking	REACTOME	105
106158	HDL-mediated lipid transport	REACTOME	15
106157	Chylomicron-mediated lipid transport	REACTOME	17
106156	Lipoprotein metabolism	REACTOME	29
106150	Metabolism of steroid hormones and vitamins A and D	REACTOME	33
106149	Recycling of bile acids and salts	REACTOME	11
106147	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	REACTOME	11
106146	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	REACTOME	16
106145	Synthesis of bile acids and bile salts	REACTOME	20
106144	Bile acid and bile salt metabolism	REACTOME	28
106142	Cholesterol biosynthesis	REACTOME	22
106136	Peroxisomal lipid metabolism	REACTOME	21
106122	Mitochondrial Fatty Acid Beta-Oxidation	REACTOME	14
106121	Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis	REACTOME	12
106115	Fatty Acyl-CoA Biosynthesis	REACTOME	18
106114	Triglyceride Biosynthesis	REACTOME	34
106111	Lipid digestion, mobilization, and transport	REACTOME	48
106110	Integrin cell surface interactions	REACTOME	85
106109	Regulation of pyruvate dehydrogenase (PDH) complex	REACTOME	12
106099	PKA activation in glucagon signalling	REACTOME	17
106097	Glucagon signaling in metabolic regulation	REACTOME	35
106096	Integration of energy metabolism	REACTOME	127
106080	Export of Viral Ribonucleoproteins from Nucleus*	REACTOME	30
106076	Viral Messenger RNA Synthesis	REACTOME	14
106074	Influenza Viral RNA Transcription and Replication	REACTOME	100
106073	Transport of Ribonucleoproteins into the Host Nucleus	REACTOME	29
106067	Influenza Infection*	REACTOME	140
106065	Basigin interactions	REACTOME	25
106064	PECAM1 interactions	REACTOME	12
106063	Tie2 Signaling	REACTOME	18
106062	Cell surface interactions at the vascular wall	REACTOME	94
106060	Common Pathway	REACTOME	14
106059	Intrinsic Pathway	REACTOME	17
106057	Formation of Fibrin Clot (Clotting Cascade)	REACTOME	32
106056	p130Cas linkage to MAPK signaling for integrins	REACTOME	15
106055	GRB2:SOS provides linkage to MAPK signaling for Intergrins	REACTOME	15
106054	Integrin alphaIIb beta3 signaling	REACTOME	27
106053	Platelet Aggregation (Plug Formation)	REACTOME	35
106050	Platelet degranulation	REACTOME	80
106048	Response to elevated platelet cytosolic Ca2+	REACTOME	85
106044	Effects of PIP2 hydrolysis	REACTOME	25
106043	G alpha (q) signalling events	REACTOME	189
106041	G alpha (12/13) signalling events	REACTOME	79
106036	GPVI-mediated activation cascade	REACTOME	33
106035	Platelet activation triggers	REACTOME	85
106034	Platelet Activation	REACTOME	247
106030	Platelet Adhesion to exposed collagen	REACTOME	14
106029	Formation of Platelet plug	REACTOME	265
106028	Hemostasis	REACTOME	480
106026	Vpu mediated degradation of CD4	REACTOME	51
106023	Nef mediated downregulation of MHC class I complex cell surface expression	REACTOME	10
106021	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	REACTOME	21
106019	The role of Nef in HIV-1 replication and disease pathogenesis	REACTOME	28
106017	Vif-mediated degradation of APOBEC3G	REACTOME	54
106015	Nuclear import of Rev protein	REACTOME	31
106014	Interactions of Rev with host cellular proteins	REACTOME	34
106013	Vpr-mediated nuclear import of PICs	REACTOME	31
106011	Interactions of Vpr with host cellular proteins	REACTOME	33
106010	Host Interactions of HIV factors	REACTOME	127
106007	Rev-mediated nuclear export of HIV-1 RNA	REACTOME	32
106005	Abortive elongation of HIV-1 transcript in the absence of Tat	REACTOME	23
106000	RNA Pol II CTD phosphorylation and interaction with CE*	REACTOME	26
105996	Transcription of the HIV genome*	REACTOME	60
105995	Late Phase of HIV Life Cycle	REACTOME	92
105985	Early Phase of HIV Life Cycle	REACTOME	13
105984	HIV Life Cycle	REACTOME	105
105983	HIV Infection	REACTOME	191
105982	Mitochondrial tRNA aminoacylation	REACTOME	21
105981	Cytosolic tRNA aminoacylation	REACTOME	24
105980	tRNA Aminoacylation	REACTOME	42
105979	Nuclear Receptor transcription pathway	REACTOME	51
105976	Eukaryotic Translation Elongation*	REACTOME	87
105973	GTP hydrolysis and joining of the 60S ribosomal subunit*	REACTOME	105
105970	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S*	REACTOME	55
105969	Formation of the ternary complex, and subsequently, the 43S complex	REACTOME	47
105968	Formation of a pool of free 40S subunits	REACTOME	94
105966	Eukaryotic Translation Initiation*	REACTOME	112
105965	Translation	REACTOME	119
105962	Transport of the SLBP Dependant Mature mRNA*	REACTOME	33
105961	Transport of Mature mRNAs Derived from Intronless Transcripts*	REACTOME	36
105960	Transport of Mature mRNA derived from an Intron-Containing Transcript	REACTOME	51
105959	Transport of Mature Transcript to Cytoplasm	REACTOME	55
105957	mRNA 3'-end processing	REACTOME	34
105953	mRNA Splicing - Minor Pathway	REACTOME	42
105951	mRNA Splicing*	REACTOME	107
105949	Formation of the Early Elongation Complex*	REACTOME	32
105948	RNA Polymerase II Transcription Elongation*	REACTOME	42
105945	mRNA Capping	REACTOME	28
105941	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening*	REACTOME	39
105940	Formation and Maturation of mRNA Transcript	REACTOME	185
105939	Notch-HLH transcription pathway	REACTOME	13
105938	Generic Transcription Pathway	REACTOME	85
105937	Gene Expression	REACTOME	430
105933	Gap junction degradation	REACTOME	10
105928	Gap junction assembly	REACTOME	19
105927	Gap junction trafficking	REACTOME	28
105926	Gap junction trafficking and regulation	REACTOME	30
105925	Regulation of Insulin Secretion by Glucagon-like Peptide-1	REACTOME	45
105924	Regulation of Insulin Secretion by Acetylcholine	REACTOME	10
105923	Inhibition of Insulin Secretion by Adrenaline/Noradrenaline	REACTOME	31
105921	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	REACTOME	82
105919	Citric acid cycle (TCA cycle)	REACTOME	19
105911	Glycolysis	REACTOME	27
105909	Regulation of Insulin Secretion	REACTOME	100
105908	Regulation of Insulin-like Growth Factor (IGF) Activity by Insulin-like Growth Factor Binding Proteins (IGFBPs)	REACTOME	17
105906	Activation of Chaperones by IRE1alpha	REACTOME	50
105905	Activation of Chaperones by ATF6-alpha	REACTOME	11
105904	Unfolded Protein Response	REACTOME	68
105903	Insulin Synthesis and Processing	REACTOME	134
105902	Diabetes pathways	REACTOME	312
105900	Association of licensing factors with the pre-replicative complex	REACTOME	15
105899	Regulation of DNA replication*	REACTOME	75
105897	DNA Replication	REACTOME	202
105895	Fanconi Anemia pathway	REACTOME	25
105891	Formation of transcription-coupled NER (TC-NER) repair complex*	REACTOME	29
105890	Transcription-coupled NER (TC-NER)	REACTOME	45
105889	Repair synthesis of patch ~27-30 bases long by DNA polymerase*	REACTOME	15
105888	Gap-filling DNA repair synthesis and ligation in GG-NER*	REACTOME	16
105886	Formation of incision complex in GG-NER*	REACTOME	20
105884	Global Genomic NER (GG-NER)	REACTOME	33
105883	Nucleotide Excision Repair	REACTOME	50
105862	Homologous Recombination Repair*	REACTOME	16
105861	Double-Strand Break Repair	REACTOME	22
105850	Resolution of AP sites via the multiple-nucleotide patch replacement pathway*	REACTOME	17
105838	Base Excision Repair*	REACTOME	19
105837	DNA Repair	REACTOME	110
105836	Autodegradation of Cdh1 by Cdh1:APC/C	REACTOME	60
105835	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	REACTOME	69
105834	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	REACTOME	17
105833	APC/C:Cdc20 mediated degradation of Securin	REACTOME	64
105832	APC/C:Cdc20 mediated degradation of Cyclin B	REACTOME	21
105830	Phosphorylation of the APC/C	REACTOME	17
105829	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins*	REACTOME	70
105828	SCF-beta-TrCP mediated degradation of Emi1	REACTOME	54
105826	Regulation of APC/C activators between G1/S and early anaphase	REACTOME	77
105825	APC/C-mediated degradation of cell cycle proteins*	REACTOME	82
105824	CDT1 association with the CDC6:ORC:origin complex	REACTOME	58
105823	CDC6 association with the ORC:origin complex	REACTOME	11
105821	Assembly of the pre-replicative complex	REACTOME	67
105820	M/G1 Transition*	REACTOME	82
105812	M Phase*	REACTOME	98
105810	Loss of proteins required for interphase microtubule organization from the centrosome*	REACTOME	62
105809	Recruitment of NuMA to mitotic centrosomes	REACTOME	11
105807	Centrosome maturation*	REACTOME	72
105802	Cyclin A/B1 associated events during G2/M transition	REACTOME	15
105795	Removal of the Flap Intermediate	REACTOME	14
105794	Processive synthesis on the lagging strand	REACTOME	15
105793	Lagging Strand Synthesis	REACTOME	20
105791	Leading Strand Synthesis*	REACTOME	14
105790	Unwinding of DNA	REACTOME	11
105789	DNA strand elongation	REACTOME	31
105788	CDK-mediated phosphorylation and removal of Cdc6*	REACTOME	50
105784	Synthesis of DNA	REACTOME	96
105783	Cyclin A:Cdk2-associated events at S phase entry*	REACTOME	66
105782	S Phase	REACTOME	112
105778	E2F mediated regulation of DNA replication	REACTOME	28
105777	Activation of the pre-replicative complex	REACTOME	30
105776	G1/S-Specific Transcription	REACTOME	17
105771	SCF(Skp2)-mediated degradation of p27/p21	REACTOME	56
105769	G1/S Transition	REACTOME	104
105766	G1 Phase*	REACTOME	21
105765	Cell Cycle, Mitotic	REACTOME	318
105763	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components*	REACTOME	18
105755	Mitotic Spindle Checkpoint	REACTOME	19
105754	Activation of ATR in response to replication stress	REACTOME	37
105750	G2/M Checkpoints	REACTOME	43
105747	p53-Independent G1/S DNA damage checkpoint*	REACTOME	52
105744	Stabilization of p53*	REACTOME	52
105741	p53-Dependent G1/S DNA damage checkpoint*	REACTOME	57
105740	G1/S DNA Damage Checkpoints	REACTOME	60
105739	Cell Cycle Checkpoints	REACTOME	117
105736	Proteolytic cleavage of SNARE complex proteins	REACTOME	16
105734	Botulinum neurotoxicity	REACTOME	18
105727	Glutathione conjugation	REACTOME	17
105724	Cytosolic sulfonation of small molecules	REACTOME	14
105722	Glucuronidation	REACTOME	20
105721	Phase II conjugation	REACTOME	65
105715	Ethanol oxidation	REACTOME	10
105703	Xenobiotics	REACTOME	15
105701	Endogenous sterols	REACTOME	14
105700	Cytochrome P450 - arranged by substrate type	REACTOME	49
105699	Phase 1 - Functionalization of compounds	REACTOME	68
105698	Biological oxidations	REACTOME	132
105697	NCAM1 interactions	REACTOME	44
105689	NCAM signaling for neurite out-growth	REACTOME	70
105688	Axon guidance	REACTOME	266
105685	Regulation of Apoptosis	REACTOME	60
105682	Apoptosis induced DNA fragmentation*	REACTOME	13
105680	Apoptotic cleavage of cell adhesion proteins	REACTOME	10
105679	Caspase-mediated cleavage of cytoskeletal proteins	REACTOME	12
105678	Apoptotic cleavage of cellular proteins	REACTOME	37
105677	Apoptotic execution phase	REACTOME	51
105658	Activation of BH3-only proteins	REACTOME	17
105656	Intrinsic Pathway for Apoptosis	REACTOME	30
105649	Extrinsic Pathway for Apoptosis*	REACTOME	13
105648	Apoptosis	REACTOME	147
104488	Cysteine and methionine metabolism	KEGG	36
102279	Endocytosis	KEGG	201
101144	Prion diseases	KEGG	35
101143	Neurotrophin signaling pathway	KEGG	127
101142	Alanine, aspartate and glutamate metabolism	KEGG	32
99052	Lysosome	KEGG	121
99051	Chemokine signaling pathway	KEGG	189
96530	Vascular smooth muscle contraction	KEGG	116
93344	Cardiac muscle contraction	KEGG	73
83125	Primary immunodeficiency	KEGG	35
83124	Graft-versus-host disease	KEGG	37
83123	Allograft rejection	KEGG	35
83122	Systemic lupus erythematosus	KEGG	134
83121	Autoimmune thyroid disease	KEGG	50
83120	Asthma	KEGG	28
83119	Non-small cell lung cancer	KEGG	54
83118	Small cell lung cancer	KEGG	85
83117	Acute myeloid leukemia	KEGG	57
83116	Chronic myeloid leukemia	KEGG	73
83115	Bladder cancer	KEGG	42
83114	Melanoma	KEGG	71
83113	Basal cell carcinoma	KEGG	55
83112	Thyroid cancer	KEGG	29
83111	Prostate cancer	KEGG	89
83110	Glioma	KEGG	65
83109	Endometrial cancer	KEGG	52
83108	Pancreatic cancer	KEGG	70
83107	Renal cell carcinoma	KEGG	70
83106	Colorectal cancer	KEGG	62
83105	Pathways in cancer	KEGG	325
83104	Shigellosis	KEGG	61
83103	Pathogenic Escherichia coli infection	KEGG	55
83102	Epithelial cell signaling in Helicobacter pylori infection	KEGG	68
83101	Vibrio cholerae infection	KEGG	54
83100	Huntington's disease	KEGG	176
83099	Amyotrophic lateral sclerosis (ALS)	KEGG	53
83098	Parkinson's disease	KEGG	116
83097	Alzheimer's disease	KEGG	161
83096	Maturity onset diabetes of the young	KEGG	25
83095	Type I diabetes mellitus	KEGG	41
83094	Type II diabetes mellitus	KEGG	48
83093	Adipocytokine signaling pathway	KEGG	68
83092	Melanogenesis	KEGG	101
83091	GnRH signaling pathway	KEGG	101
83090	Insulin signaling pathway	KEGG	138
83089	Regulation of actin cytoskeleton	KEGG	211
83088	Taste transduction	KEGG	51
83087	Olfactory transduction	KEGG	386
83086	Long-term depression	KEGG	70
83085	Long-term potentiation	KEGG	70
83084	Circadian rhythm - mammal	KEGG	22
83083	Leukocyte transendothelial migration	KEGG	115
83082	Fc epsilon RI signaling pathway	KEGG	79
83081	B cell receptor signaling pathway	KEGG	75
83080	T cell receptor signaling pathway	KEGG	108
83079	Natural killer cell mediated cytotoxicity	KEGG	131
83078	Hematopoietic cell lineage	KEGG	82
83077	Jak-STAT signaling pathway	KEGG	150
83076	Toll-like receptor signaling pathway*	KEGG	102
83075	Renin-angiotensin system	KEGG	17
83074	Antigen processing and presentation	KEGG	69
83073	Complement and coagulation cascades	KEGG	69
83072	Gap junction	KEGG	89
83071	Tight junction	KEGG	132
83070	Adherens junction	KEGG	73
83069	Cell adhesion molecules (CAMs)	KEGG	130
83068	ECM-receptor interaction	KEGG	85
83067	Focal adhesion	KEGG	200
83066	VEGF signaling pathway	KEGG	76
83065	Axon guidance	KEGG	129
83064	TGF-beta signaling pathway	KEGG	84
83063	Hedgehog signaling pathway	KEGG	56
83062	Notch signaling pathway	KEGG	47
83061	Wnt signaling pathway	KEGG	149
83060	Apoptosis	KEGG	86
83059	mTOR signaling pathway	KEGG	52
83058	Regulation of autophagy	KEGG	34
83057	SNARE interactions in vesicular transport	KEGG	35
83056	Ubiquitin mediated proteolysis	KEGG	135
83055	p53 signaling pathway	KEGG	68
83054	Cell cycle	KEGG	124
83053	Neuroactive ligand-receptor interaction	KEGG	270
83052	Phosphatidylinositol signaling system	KEGG	78
83051	Cytokine-cytokine receptor interaction	KEGG	261
83050	Calcium signaling pathway	KEGG	176
83049	ErbB signaling pathway	KEGG	87
83048	MAPK signaling pathway	KEGG	268
83047	Non-homologous end-joining	KEGG	13
83046	Homologous recombination	KEGG	28
83045	Mismatch repair	KEGG	23
83044	Nucleotide excision repair	KEGG	45
83043	Base excision repair	KEGG	33
83042	PPAR signaling pathway	KEGG	70
83041	Protein export	KEGG	23
83040	Proteasome	KEGG	44
83039	DNA replication	KEGG	36
83038	Basal transcription factors	KEGG	43
83037	RNA polymerase	KEGG	29
83036	Ribosome	KEGG	88
83035	ABC transporters	KEGG	44
83034	Biosynthesis of unsaturated fatty acids	KEGG	21
83033	Drug metabolism - other enzymes	KEGG	52
83032	Drug metabolism - cytochrome P450	KEGG	73
83031	Metabolism of xenobiotics by cytochrome P450	KEGG	71
83030	Aminoacyl-tRNA biosynthesis	KEGG	41
83026	Sulfur metabolism	KEGG	13
83025	Nitrogen metabolism	KEGG	23
83022	Terpenoid backbone biosynthesis	KEGG	15
83021	Porphyrin and chlorophyll metabolism	KEGG	43
83020	Retinol metabolism	KEGG	64
83018	Folate biosynthesis	KEGG	11
83015	Pantothenate and CoA biosynthesis	KEGG	16
83014	Nicotinate and nicotinamide metabolism	KEGG	24
83012	Riboflavin metabolism	KEGG	11
83008	One carbon pool by folate	KEGG	18
83007	Butanoate metabolism	KEGG	30
83004	Propanoate metabolism	KEGG	32
83002	Glyoxylate and dicarboxylate metabolism	KEGG	18
82998	Pyruvate metabolism	KEGG	40
82997	Glycosphingolipid biosynthesis - ganglio series	KEGG	15
82996	Glycosphingolipid biosynthesis - globo series	KEGG	14
82995	Glycosphingolipid biosynthesis - lacto and neolacto series	KEGG	26
82994	Sphingolipid metabolism	KEGG	40
82993	alpha-Linolenic acid metabolism	KEGG	20
82992	Linoleic acid metabolism	KEGG	30
82991	Arachidonic acid metabolism	KEGG	59
82990	Ether lipid metabolism	KEGG	36
82989	Glycerophospholipid metabolism	KEGG	80
82988	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	KEGG	25
82987	Inositol phosphate metabolism	KEGG	57
82986	Glycerolipid metabolism	KEGG	50
82984	Glycosaminoglycan biosynthesis - heparan sulfate	KEGG	26
82983	Glycosaminoglycan biosynthesis - keratan sulfate	KEGG	15
82982	Glycosaminoglycan biosynthesis - chondroitin sulfate	KEGG	22
82981	Glycosaminoglycan degradation	KEGG	19
82979	Amino sugar and nucleotide sugar metabolism	KEGG	48
82978	Other types of O-glycan biosynthesis	KEGG	46
82977	Mucin type O-Glycan biosynthesis	KEGG	30
82976	Other glycan degradation	KEGG	17
82975	N-Glycan biosynthesis	KEGG	49
82974	Starch and sucrose metabolism	KEGG	54
82973	Glutathione metabolism	KEGG	50
82969	Selenocompound metabolism	KEGG	17
82967	Taurine and hypotaurine metabolism	KEGG	10
82966	beta-Alanine metabolism	KEGG	22
82964	Tryptophan metabolism	KEGG	41
82960	Phenylalanine metabolism	KEGG	17
82959	Tyrosine metabolism	KEGG	41
82958	Histidine metabolism	KEGG	29
82957	Arginine and proline metabolism	KEGG	54
82956	Lysine degradation	KEGG	44
82954	Valine, leucine and isoleucine biosynthesis	KEGG	11
82952	Valine, leucine and isoleucine degradation	KEGG	44
82949	Glycine, serine and threonine metabolism	KEGG	32
82946	Pyrimidine metabolism	KEGG	99
82944	Purine metabolism	KEGG	162
